DateTime,Source,Air Temp,Humidity,Soil Moisture
"April 8, 2021 at 10:46PM",Garden_Data2,23.8,43,774
"April 8, 2021 at 11:01PM",Garden_Data2,23.7,45,774
"April 8, 2021 at 11:15PM",Garden_Data2,23.6,45,774
"April 8, 2021 at 11:30PM",Garden_Data2,23.5,46,774
"April 8, 2021 at 11:44PM",Garden_Data2,23.3,47,774
"April 8, 2021 at 11:59PM",Garden_Data2,23.2,46,774
"April 9, 2021 at 12:13AM",Garden_Data2,23.1,46,774
"April 9, 2021 at 12:28AM",Garden_Data2,23,45,774
"April 9, 2021 at 12:42AM",Garden_Data2,22.9,45,774
"April 9, 2021 at 12:57AM",Garden_Data2,22.8,46,774
"April 9, 2021 at 01:12AM",Garden_Data2,22.7,46,774
"April 9, 2021 at 01:26AM",Garden_Data2,22.6,46,775
"April 9, 2021 at 01:41AM",Garden_Data2,22.5,46,775
"April 9, 2021 at 01:55AM",Garden_Data2,22.3,46,775
"April 9, 2021 at 02:10AM",Garden_Data2,22.2,46,775
"April 9, 2021 at 02:24AM",Garden_Data2,22.2,46,775
"April 9, 2021 at 02:39AM",Garden_Data2,22.1,46,776
"April 9, 2021 at 02:53AM",Garden_Data2,22,47,776
"April 9, 2021 at 03:08AM",Garden_Data2,21.9,46,776
"April 9, 2021 at 03:23AM",Garden_Data2,21.7,46,776
"April 9, 2021 at 03:37AM",Garden_Data2,21.7,47,776
"April 9, 2021 at 03:52AM",Garden_Data2,21.6,47,776
"April 9, 2021 at 04:06AM",Garden_Data2,21.5,47,777
"April 9, 2021 at 04:21AM",Garden_Data2,21.4,47,777
"April 9, 2021 at 04:36AM",Garden_Data2,21.3,48,777
"April 9, 2021 at 04:50AM",Garden_Data2,21.2,48,777
"April 9, 2021 at 05:05AM",Garden_Data2,21.2,48,778
"April 9, 2021 at 05:19AM",Garden_Data2,21.1,49,778
"April 9, 2021 at 05:34AM",Garden_Data2,21,48,778
"April 9, 2021 at 05:48AM",Garden_Data2,20.9,47,778
"April 9, 2021 at 06:03AM",Garden_Data2,20.8,48,778
"April 9, 2021 at 06:17AM",Garden_Data2,20.7,48,778
"April 9, 2021 at 06:32AM",Garden_Data2,20.7,48,778
"April 9, 2021 at 06:47AM",Garden_Data2,20.6,48,778
"April 9, 2021 at 07:01AM",Garden_Data2,20.5,48,777
"April 9, 2021 at 07:16AM",Garden_Data2,20.5,49,777
"April 9, 2021 at 07:30AM",Garden_Data2,20.5,49,777
"April 9, 2021 at 07:45AM",Garden_Data2,20.6,49,777
"April 9, 2021 at 08:00AM",Garden_Data2,20.6,49,777
"April 9, 2021 at 08:14AM",Garden_Data2,20.6,50,777
"April 9, 2021 at 08:29AM",Garden_Data2,20.6,50,777
"April 9, 2021 at 08:43AM",Garden_Data2,20.7,50,777
"April 9, 2021 at 08:58AM",Garden_Data2,20.7,51,777
"April 9, 2021 at 09:13AM",Garden_Data2,21.1,52,777
"April 9, 2021 at 09:27AM",Garden_Data2,21.7,52,777
