Time,Source,Soil Temp,Light
"April 11, 2021 at 02:59AM",Garden_Data,20.25,0
"April 11, 2021 at 03:13AM",Garden_Data,20.19,0
"April 11, 2021 at 03:28AM",Garden_Data,20.13,0
"April 11, 2021 at 03:42AM",Garden_Data,20.13,0
"April 11, 2021 at 03:56AM",Garden_Data,20.06,0
"April 11, 2021 at 04:11AM",Garden_Data,20,0
"April 11, 2021 at 04:25AM",Garden_Data,19.94,0
"April 11, 2021 at 04:40AM",Garden_Data,19.88,0
"April 11, 2021 at 04:54AM",Garden_Data,19.88,0
"April 11, 2021 at 05:09AM",Garden_Data,19.81,0
"April 11, 2021 at 05:23AM",Garden_Data,19.75,0
"April 11, 2021 at 05:38AM",Garden_Data,19.69,0
"April 11, 2021 at 05:52AM",Garden_Data,19.69,0
"April 11, 2021 at 06:07AM",Garden_Data,19.63,0
"April 11, 2021 at 06:21AM",Garden_Data,19.63,0
"April 11, 2021 at 06:36AM",Garden_Data,19.56,0
"April 11, 2021 at 06:50AM",Garden_Data,19.56,1
"April 11, 2021 at 07:05AM",Garden_Data,19.56,5
"April 11, 2021 at 07:19AM",Garden_Data,19.56,13
"April 11, 2021 at 07:34AM",Garden_Data,19.5,22
"April 11, 2021 at 07:48AM",Garden_Data,19.5,42
"April 11, 2021 at 08:03AM",Garden_Data,19.5,65
